종목코드,종목명,직전분기_매출액_컨센서스
95570,AJ네트웍스,2760.3
6840,AK홀딩스,
95570,AJ네트웍스,2760.3
6840,AK홀딩스,
27410,BGF,880.0
282330,BGF리테일,23388.0
138930,BNK금융지주,
095570,AJ네트웍스,2760.3
006840,AK홀딩스,
027410,BGF,880.0
001460,BYC,
001465,BYC우,
001040,CJ,113049.9
079160,CJ CGV,5687.6
00104K,CJ4우(전환),113049.9
000120,CJ대한통운,30783.3
011150,CJ씨푸드,
011155,CJ씨푸드1우,
001045,CJ우,113049.9
097950,CJ제일제당,75752.8
097955,CJ제일제당 우,75752.8
000480,CR홀딩스,
000590,CS홀딩스,
012030,DB,
016610,DB금융투자,
005830,DB손해보험,
000990,DB하이텍,3000.0
139130,DGB금융지주,
001530,DI동일,1688.0
000210,DL,15027.0
000215,DL우,15027.0
375500,DL이앤씨,19879.1
37550L,DL이앤씨2우(전환),19879.1
37550K,DL이앤씨우,19879.1
007340,DN오토모티브,
004840,DRB동일,
155660,DSR,
069730,DSR제강,
017860,DS단석,
017940,E1,28724.0
365550,ESR켄달스퀘어리츠,
383220,F&F,4746.1
007700,F&F홀딩스,
114090,GKL,956.4
078930,GS,64143.2
006360,GS건설,31174.7
001250,GS글로벌,9980.0
007070,GS리테일,31013.3
078935,GS우,64143.2
012630,HDC,
039570,HDC랩스,
089470,HDC현대EP,
294870,HDC현대산업개발,11040.3
009540,HD한국조선해양,60690.3
267250,HD현대,166002.7
267270,HD현대건설기계,8727.8
443060,HD현대마린솔루션,3751.0
071970,HD현대마린엔진,809.5
010620,HD현대미포,10353.2
322000,HD현대에너지솔루션,1108.0
042670,HD현대인프라코어,10525.0
267260,HD현대일렉트릭,8610.9
329180,HD현대중공업,35143.5
097230,HJ중공업,
014790,HL D&I,3447.7
003580,HLB글로벌,
204320,HL만도,21987.8
060980,HL홀딩스,3325.3
011200,HMM,33653.0
035000,HS애드,
002460,HS화성,
487570,HS효성,
298050,HS효성첨단소재,8060.9
003560,IHQ,
175330,JB금융지주,
234080,JW생명과학,558.0
001060,JW중외제약,1928.0
001067,JW중외제약2우B,1928.0
001065,JW중외제약우,1928.0
096760,JW홀딩스,
105560,KB금융,
415640,KB발해인프라,
432320,KB스타리츠,
002380,KCC,17479.5
344820,KCC글라스,4523.0
009070,KCTC,
009440,KC그린홀딩스,
119650,KC코트렐,
092220,KEC,
003620,KG모빌리티,
016380,KG스틸,8526.0
001390,KG케미칼,
033180,KH 필룩스,
015590,KIB플러그에너지,
001940,KISCO홀딩스,
025000,KPX케미칼,2389.0
092230,KPX홀딩스,
000040,KR모터스,
044450,KSS해운,
030200,KT,66624.6
033780,KT&G,16538.1
058850,KTcs,
058860,KTis,
093050,LF,
003550,LG,18802.5
034220,LG디스플레이,72662.5
051900,LG생활건강,17172.6
051905,LG생활건강우,17172.6
373220,LG에너지솔루션,67257.2
003555,LG우,18802.5
032640,LG유플러스,36417.9
011070,LG이노텍,51675.5
066570,LG전자,217719.3
066575,LG전자우,217719.3
037560,LG헬로비전,3060.0
051910,LG화학,129152.5
051915,LG화학우,129152.5
079550,LIG넥스원,7241.6
006260,LS,66124.9
010120,LS ELECTRIC,10473.1
000680,LS네트웍스,
229640,LS에코에너지,2071.0
108320,LX세미콘,4092.3
001120,LX인터내셔널,40517.8
108670,LX하우시스,8706.0
108675,LX하우시스우,8706.0
383800,LX홀딩스,600.0
38380K,LX홀딩스1우,600.0
023150,MH에탄올,
035420,NAVER,26620.4
181710,NHN,6163.0
400760,NH올원리츠,
005940,NH투자증권,
005945,NH투자증권우,
338100,NH프라임리츠,
034310,NICE,
030190,NICE평가정보,1314.0
008260,NI스틸,
004250,NPC,
004255,NPC우,
456040,OCI,
010060,OCI홀딩스,9511.7
178920,PI첨단소재,716.3
005490,POSCO홀딩스,184901.2
010950,S-Oil,89889.2
010955,S-Oil우,89889.2
034120,SBS,3013.2
005090,SGC에너지,5881.0
001380,SG글로벌,
004060,SG세계물산,
001770,SHD,
002360,SH에너지화학,
009160,SIMPAC,
033530,SJG세종,
123700,SJM,
025530,SJM홀딩스,
034730,SK,326664.3
011790,SKC,5075.0
018670,SK가스,18573.5
001740,SK네트웍스,18914.5
006120,SK디스커버리,
006125,SK디스커버리우,
210980,SK디앤디,
395400,SK리츠,
302440,SK바이오사이언스,
326030,SK바이오팜,1322.3
402340,SK스퀘어,7320.6
361610,SK아이이테크놀로지,673.2
100090,SK오션플랜트,2415.9
03473K,SK우,326664.3
096770,SK이노베이션,184193.4
096775,SK이노베이션우,184193.4
475150,SK이터닉스,1793.0
001510,SK증권,
001515,SK증권우,
285130,SK케미칼,4187.5
28513K,SK케미칼우,4187.5
017670,SK텔레콤,44868.2
000660,SK하이닉스,180369.6
003570,SNT다이내믹스,
064960,SNT모티브,2340.8
100840,SNT에너지,928.0
036530,SNT홀딩스,
005610,SPC삼립,8862.0
011810,STX,
465770,STX그린로지스,
077970,STX엔진,1790.0
002820,SUN&L,
084870,TBH글로벌,
002710,TCC스틸,1330.0
069260,TKG휴켐스,3068.0
007980,TP,
002900,TYM,
024070,WISCOM,
037270,YG PLUS,
000500,가온전선,
000860,강남제비스코,
035250,강원랜드,3664.9
011420,갤럭시아에스엠,
002100,경농,
009450,경동나비엔,3330.5
267290,경동도시가스,
012320,경동인베스트,
000050,경방,
214390,경보제약,
012610,경인양행,
009140,경인전자,
013580,계룡건설,
012200,계양전기,
012205,계양전기우,
002140,고려산업,
010130,고려아연,31423.3
002240,고려제강,
009290,광동제약,
017040,광명전기,
017900,광전자,
037710,광주신세계,
030610,교보증권,
339770,교촌에프앤비,1198.3
007690,국도화학,3124.0
001140,국보,
002720,국제약품,
083420,그린케미칼,
014530,극동유화,
014280,금강공업,
014285,금강공업우,
008870,금비,
001570,금양,
002990,금호건설,5150.0
002995,금호건설우,5150.0
011780,금호석유,18912.1
011785,금호석유우,18912.1
214330,금호에이치티,
001210,금호전기,
073240,금호타이어,10953.8
092440,기신정기,
000270,기아,263378.9
024110,기업은행,
013700,까뮤이앤씨,
004540,깨끗한나라,
004545,깨끗한나라우,
001260,남광토건,
008350,남선알미늄,
008355,남선알미우,
004270,남성,
003920,남양유업,
003925,남양유업우,
025860,남해화학,
005720,넥센,
005725,넥센우,
002350,넥센타이어,7596.4
002355,넥센타이어1우B,7596.4
092790,넥스틸,
251270,넷마블,6870.8
090350,노루페인트,
090355,노루페인트우,
000320,노루홀딩스,
000325,노루홀딩스우,
006280,녹십자,4778.8
005250,녹십자홀딩스,
005257,녹십자홀딩스2우,
004370,농심,8770.4
072710,농심홀딩스,
058730,다스코,
030210,다올투자증권,
023590,다우기술,
145210,다이나믹디자인,
019680,대교,
019685,대교우B,
006370,대구백화점,
008060,대덕,
00806K,대덕1우,
353200,대덕전자,2509.3
35320K,대덕전자1우,2509.3
000490,대동,
008110,대동전자,
005750,대림B&Co,
006570,대림통상,
001680,대상,11538.0
001685,대상우,11538.0
084690,대상홀딩스,
084695,대상홀딩스우,
128820,대성산업,
117580,대성에너지,
016710,대성홀딩스,
003540,대신증권,
003547,대신증권2우B,
003545,대신증권우,
009190,대양금속,
014160,대영포장,
047040,대우건설,25727.4
003090,대웅,
069620,대웅제약,3554.5
000430,대원강업,
006340,대원전선,
006345,대원전선우,
003220,대원제약,
024890,대원화성,
002880,대유에이텍,
000300,대유플러스,
012800,대창,
015230,대창단조,
001070,대한방직,
006650,대한유화,7375.7
001440,대한전선,9330.0
084010,대한제강,2805.0
001790,대한제당,
001795,대한제당우,
001130,대한제분,
003490,대한항공,46948.2
003495,대한항공우,46948.2
005880,대한해운,4115.5
003830,대한화섬,
016090,대현,
069460,대호에이엘,
475560,더본코리아,
192080,더블유게임즈,1615.3
012510,더존비즈온,1035.1
004830,덕성,
004835,덕성우,
024900,덕양산업,
145720,덴티움,1061.2
002150,도화엔지니어링,
460850,동국씨엠,5508.0
460860,동국제강,8771.7
001230,동국홀딩스,
023450,동남합성,
004140,동방,
007590,동방아그로,
005960,동부건설,
005965,동부건설우,
026960,동서,
002210,동성제약,
102260,동성케미컬,
000640,동아쏘시오홀딩스,3210.0
170900,동아에스티,
028100,동아지질,
001520,동양,
001527,동양2우B,
084670,동양고속,
082640,동양생명,
001525,동양우,
008970,동양철관,
092780,동양피스톤,
049770,동원F&B,12490.0
018500,동원금속,
006040,동원산업,26010.0
030720,동원수산,
014820,동원시스템즈,3500.0
014825,동원시스템즈우,3500.0
111380,동인기연,665.0
163560,동일고무벨트,
004890,동일산업,
002690,동일제강,
000020,동화약품,
000150,두산,47580.0
000157,두산2우B,47580.0
454910,두산로보틱스,300.0
241560,두산밥캣,21009.4
034020,두산에너빌리티,40450.0
000155,두산우,47580.0
336260,두산퓨얼셀,
33626K,두산퓨얼셀1우,
33626L,두산퓨얼셀2우B,
016740,두올,
192650,드림텍,
024090,디씨엠,
003160,디아이,460.0
092200,디아이씨,
377190,디앤디플랫폼리츠,
013570,디와이,
210540,디와이파워,
032350,롯데관광개발,1367.2
089860,롯데렌탈,7253.9
330590,롯데리츠,
000400,롯데손해보험,
023530,롯데쇼핑,36618.6
020150,롯데에너지머티리얼즈,2201.3
280360,롯데웰푸드,11149.8
286940,롯데이노베이트,3220.8
004000,롯데정밀화학,4429.9
004990,롯데지주,43887.5
00499K,롯데지주우,43887.5
005300,롯데칠성,11056.7
005305,롯데칠성우,11056.7
011170,롯데케미칼,52709.8
071840,롯데하이마트,6678.4
027740,마니커,
357430,마스턴프리미어리츠,
001080,만호제강,
088980,맥쿼리인프라,
094800,맵스리얼티1,
138040,메리츠금융지주,
090370,메타랩스,
118000,메타케어,
017180,명문제약,
009900,명신산업,4380.0
012690,모나리자,
005360,모나미,
070960,모나용평,775.0
009680,모토닉,
009580,무림P&P,2060.0
009200,무림페이퍼,
033920,무학,
008420,문배철강,
025560,미래산업,
007120,미래아이앤지,
396690,미래에셋글로벌리츠,
357250,미래에셋맵스리츠,
085620,미래에셋생명,
006800,미래에셋증권,
00680K,미래에셋증권2우B,
006805,미래에셋증권우,
002840,미원상사,
268280,미원에스씨,
107590,미원홀딩스,
134380,미원화학,
003650,미창석유,
377740,바이오노트,
003610,방림,
001340,백광산업,
035150,백산,1427.0
002410,범양건영,
007210,벽산,1609.0
002760,보락,
003850,보령,2650.0
000890,보해양조,
003000,부광약품,
001270,부국증권,
001275,부국증권우,
026940,부국철강,
011390,부산산업,
005030,부산주공,
002070,비비안,
100220,비상교육,
090460,비에이치,5643.6
005180,빙그레,4611.6
003960,사조대림,6924.0
008040,사조동아원,
007160,사조산업,
014710,사조씨푸드,
006090,사조오양,
062040,산일전기,
001470,삼부토건,
028050,삼성E&A,25041.8
448730,삼성FN리츠,
006400,삼성SDI,43394.8
006405,삼성SDI우,43394.8
006660,삼성공조,
028260,삼성물산,105853.6
02826K,삼성물산우B,105853.6
207940,삼성바이오로직스,10856.3
032830,삼성생명,
018260,삼성에스디에스,34884.0
009150,삼성전기,26435.8
009155,삼성전기우,26435.8
005930,삼성전자,809002.5
005935,삼성전자우,809002.5
001360,삼성제약,
010140,삼성중공업,24578.6
016360,삼성증권,
068290,삼성출판사,
029780,삼성카드,10277.5
000810,삼성화재,
000815,삼성화재우,
006110,삼아알미늄,
145990,삼양사,
145995,삼양사우,
003230,삼양식품,4284.4
002170,삼양통상,
272550,삼양패키징,1314.0
000070,삼양홀딩스,
000075,삼양홀딩스우,
003720,삼영,
002810,삼영무역,
005680,삼영전자,
023000,삼원강재,
004380,삼익THK,
002450,삼익악기,
004440,삼일씨엔에스,
000520,삼일제약,
009770,삼정펄프,
005500,삼진제약,781.0
004690,삼천리,
010960,삼호개발,
004450,삼화왕관,
009470,삼화전기,
011230,삼화전자,
001820,삼화콘덴서,
000390,삼화페인트,
001290,상상인증권,
041650,상신브레이크,
075180,새론오토모티브,
007540,샘표,
248170,샘표식품,
007860,서연,
200880,서연이화,
017390,서울가스,
004410,서울식품,
004415,서울식품우,
021050,서원,
008490,서흥,1653.0
007610,선도전기,
136490,선진,
014910,성문전자,
014915,성문전자우,
003080,성보화학,
004980,성신양회,
004985,성신양회우,
011300,성안머티리얼스,
000180,성창기업지주,
002420,세기상사,
004360,세방,
004365,세방우,
004490,세방전지,5218.0
001430,세아베스틸지주,8960.4
306200,세아제강,4064.2
003030,세아제강지주,8492.0
019440,세아특수강,
058650,세아홀딩스,
013000,세우글로벌,
091090,세원이앤씨,
021820,세원정공,
067830,세이브존I&C,
075580,세진중공업,930.0
068270,셀트리온,9351.4
336370,솔루스첨단소재,1456.8
33637K,솔루스첨단소재1우,1456.8
33637L,솔루스첨단소재2우B,1456.8
248070,솔루엠,4727.4
004430,송원산업,
126720,수산인더스트리,665.5
017550,수산중공업,
053210,스카이라이프,2594.2
204210,스타에스엠리츠,
026890,스틱인베스트먼트,
134790,시디즈,
462870,시프트업,533.8
016590,신대양제지,
029530,신도리코,
004970,신라교역,
011930,신성이엔지,1123.0
005390,신성통상,
004170,신세계,15525.7
035510,신세계 I&C,
034300,신세계건설,
031430,신세계인터내셔날,3102.8
031440,신세계푸드,4127.0
006880,신송홀딩스,
005800,신영와코루,
001720,신영증권,
009270,신원,
002700,신일전자,
002870,신풍,
019170,신풍제약,
019175,신풍제약우,
481850,신한글로벌액티브리츠,
404990,신한서부티엔디리츠,
293940,신한알파리츠,
055550,신한지주,
004080,신흥,
102280,쌍방울,
004770,써니전자,
403550,쏘카,1261.3
004920,씨아이테크,
112610,씨에스윈드,7403.6
308170,씨티알모빌리티,
008700,아남전자,
002790,아모레G,12424.0
00279K,아모레G3우(전환),12424.0
002795,아모레G우,12424.0
090430,아모레퍼시픽,9809.5
090435,아모레퍼시픽우,9809.5
002030,아세아,
183190,아세아시멘트,
002310,아세아제지,
012170,아센디오,
267850,아시아나IDT,
020560,아시아나항공,
122900,아이마켓코리아,8480.0
010780,아이에스동서,3976.0
139990,아주스틸,
009320,아진전자부품,
001780,알루코,
018250,애경산업,1866.0
161000,애경케미칼,
011090,에넥스,
137310,에스디바이오센서,
005850,에스엘,12270.0
010580,에스엠벡셀,
012750,에스원,6946.0
023960,에쓰씨엔지니어링,
298690,에어부산,2430.0
140910,에이리츠,
078520,에이블씨엔씨,
015260,에이엔피,
007460,에이프로젠,
003060,에이프로젠바이오로직스,
244920,에이플러스에셋,
278470,에이피알,1654.7
450080,에코프로머티,
036570,엔씨소프트,3916.8
085310,엔케이,
900140,엘브이엠씨홀딩스,
066970,엘앤에프,4382.6
097520,엠씨넥스,2314.2
014440,영보화학,
111770,영원무역,9757.3
009970,영원무역홀딩스,
003520,영진약품,
000670,영풍,
006740,영풍제지,
012280,영화금속,
012160,영흥,
015360,예스코홀딩스,
007310,오뚜기,9397.0
002630,오리엔트바이오,
271560,오리온,7817.0
001800,오리온홀딩스,
005320,온타이드,
011690,와이투솔루션,
316140,우리금융지주,
006980,우성,
017370,우신시스템,2379.7
105840,우진,283.0
010400,우진아이엔에스,
049800,우진플라임,
016880,웅진,
095720,웅진씽크빅,2235.0
005820,원림,
010600,웰바이오텍,
008600,윌비스,
033270,유나이티드제약,
014830,유니드,2806.5
446070,유니드비티플러스,
000910,유니온,
047400,유니온머티리얼,
011330,유니켐,
077500,유니퀘스트,
002920,유성기업,
000700,유수홀딩스,
003470,유안타증권,
003475,유안타증권우,
072130,유엔젤,
000220,유유제약,
000225,유유제약1우,
000227,유유제약2우B,
001200,유진투자증권,
000100,유한양행,5484.0
000105,유한양행우,5484.0
003460,유화증권,
003465,유화증권우,
008730,율촌화학,
008250,이건산업,
025820,이구산업,
214320,이노션,5329.2
088260,이리츠코크렙,
139480,이마트,77848.0
457190,이수스페셜티케미컬,
007660,이수페타시스,2144.1
005950,이수화학,
015020,이스타코,
093230,이아이디,
074610,이엔플러스,
102460,이연제약,
084680,이월드,
350520,이지스레지던스리츠,
334890,이지스밸류리츠,
000760,이화산업,
014990,인디에프,
101140,인바이오젠,
006490,인스코비,
023800,인지컨트롤스,
034590,인천도시가스,
129260,인터지스,
023810,인팩,
249420,일동제약,
000230,일동홀딩스,
013360,일성건설,
003120,일성아이에스,
003200,일신방직,
007110,일신석재,
007570,일양약품,
007575,일양약품우,
008500,일정실업,
081000,일진다이아,
020760,일진디스플,
103590,일진전기,3225.0
271940,일진하이솔루스,234.0
015860,일진홀딩스,
226320,잇츠한불,
317400,자이에스앤디,4160.0
033240,자화전자,2042.0
000950,전방,
079900,전진건설로봇,
348950,제이알글로벌리츠,
194370,제이에스코퍼레이션,3603.0
025620,제이준코스메틱,
030000,제일기획,11257.3
271980,제일약품,
001560,제일연마,
002620,제일파마홀딩스,
006220,제주은행,
089590,제주항공,4890.5
004910,조광페인트,
004700,조광피혁,
001550,조비,
462520,조선내화,
120030,조선선재,
018470,조일알미늄,
002600,조흥,
185750,종근당,4115.0
063160,종근당바이오,
001630,종근당홀딩스,2342.0
109070,주성코퍼레이션,
044380,주연테크,
013890,지누스,2380.0
013870,지엠비코리아,
071320,지역난방공사,5789.7
088790,진도,
003780,진양산업,
010640,진양폴리,
100250,진양홀딩스,
051630,진양화학,
272450,진에어,3526.5
011000,진원생명과학,
002780,진흥기업,
002787,진흥기업2우B,
002785,진흥기업우B,
009310,참엔지니어링,
000650,천일고속,
012600,청호ICT,
033250,체시스,
035720,카카오,20310.6
323410,카카오뱅크,
377300,카카오페이,1905.5
006380,카프로,
001620,케이비아이동국실업,
029460,케이씨,
281820,케이씨텍,781.0
381970,케이카,5821.3
145270,케이탑리츠,
417310,코람코더원리츠,
357120,코람코라이프인프라리츠,
007815,코리아써우,3895.5
007810,코리아써키트,3895.5
00781K,코리아써키트2우B,3895.5
003690,코리안리,
192820,코스맥스,5236.3
044820,코스맥스비티아이,
005070,코스모신소재,1254.0
005420,코스모화학,
071950,코아스,
002020,코오롱,
138490,코오롱ENP,1191.0
003070,코오롱글로벌,7097.0
003075,코오롱글로벌우,7097.0
450140,코오롱모빌리티그룹,
45014K,코오롱모빌리티그룹우,
002025,코오롱우,
120110,코오롱인더,11920.0
120115,코오롱인더우,11920.0
021240,코웨이,10966.5
036420,콘텐트리중앙,2374.9
024720,콜마홀딩스,
031820,콤텍시스템,
192400,쿠쿠홀딩스,2110.0
284740,쿠쿠홈시스,
264900,크라운제과,
26490K,크라운제과우,
005740,크라운해태홀딩스,
005745,크라운해태홀딩스우,
259960,크래프톤,6469.6
020120,키다리스튜디오,506.0
039490,키움증권,
014580,태경비케이,
015890,태경산업,
006890,태경케미컬,
003240,태광산업,
011280,태림포장,
004100,태양금속,
004105,태양금속우,
009410,태영건설,
009415,태영건설우,
001420,태원물산,
055490,테이팩스,
078000,텔코웨어,
214420,토니모리,480.3
019180,티에이치엔,
363280,티와이홀딩스,
36328K,티와이홀딩스우,
091810,티웨이항공,3860.0
004870,티웨이홀딩스,
034230,파라다이스,2711.5
005690,파미셀,
036580,팜스코,
004720,팜젠사이언스,
028670,팬오션,12476.7
010820,퍼스텍,
016800,퍼시스,
001020,페이퍼코리아,
090080,평화산업,
010770,평화홀딩스,
022100,포스코DX,
058430,포스코스틸리온,
047050,포스코인터내셔널,79791.8
003670,포스코퓨처엠,9664.4
017810,풀무원,7732.0
103140,풍산,11041.8
005810,풍산홀딩스,
950210,프레스티지바이오파마,
009810,플레이그램,
086790,하나금융지주,
293480,하나제약,570.0
039130,하나투어,1585.8
352820,하이브,5149.4
071090,하이스틸,
019490,하이트론,
000080,하이트진로,6839.8
000087,하이트진로2우B,6839.8
000140,하이트진로홀딩스,
000145,하이트진로홀딩스우,
152550,한국ANKOR유전,
036460,한국가스공사,79764.0
005430,한국공항,
071050,한국금융지주,
071055,한국금융지주우,
010040,한국내화,
025540,한국단자,3687.0
010100,한국무브넥스,
004090,한국석유,1865.0
002200,한국수출포장,
002960,한국쉘석유,
000240,한국앤컴퍼니,3745.0
123890,한국자산신탁,527.0
015760,한국전력,254893.1
006200,한국전자홀딩스,
027970,한국제지,
023350,한국종합기술,
025890,한국주강,
000970,한국주철관,
104700,한국철강,1539.0
017960,한국카본,1963.0
161890,한국콜마,6238.3
161390,한국타이어앤테크놀로지,23982.9
034830,한국토지신탁,460.0
007280,한국특강,
168490,한국패러랠,
047810,한국항공우주,9480.7
123690,한국화장품,
003350,한국화장품제조,
011500,한농화성,
002390,한독,
053690,한미글로벌,1055.5
042700,한미반도체,1911.4
008930,한미사이언스,
128940,한미약품,3755.4
009240,한샘,4703.7
020000,한섬,3307.2
003680,한성기업,
105630,한세실업,5323.1
069640,한세엠케이,
016450,한세예스24홀딩스,
010420,한솔PNS,
009180,한솔로지스틱스,
213500,한솔제지,5481.0
014680,한솔케미칼,2068.2
004710,한솔테크닉스,
004150,한솔홀딩스,
025750,한솔홈데코,
004960,한신공영,
011700,한신기계,
001750,한양증권,
001755,한양증권우,
018880,한온시스템,24382.0
009420,한올바이오파마,366.4
014130,한익스프레스,
300720,한일시멘트,4240.0
002220,한일철강,
006390,한일현대시멘트,
003300,한일홀딩스,
051600,한전KPS,3676.5
052690,한전기술,1277.0
130660,한전산업,
002320,한진,
003480,한진중공업홀딩스,
180640,한진칼,
18064K,한진칼우,
005110,한창,
009460,한창제지,
372910,한컴라이프케어,270.0
000880,한화,132828.0
00088K,한화3우B,132828.0
452260,한화갤러리아,
45226K,한화갤러리아우,
451800,한화리츠,
088350,한화생명,
000370,한화손해보험,
009830,한화솔루션,33498.0
009835,한화솔루션우,33498.0
272210,한화시스템,7037.7
012450,한화에어로스페이스,27843.7
082740,한화엔진,2699.7
042660,한화오션,24340.4
000885,한화우,132828.0
489790,한화인더스트리얼솔루션즈,
003530,한화투자증권,
003535,한화투자증권우,
195870,해성디에스,1615.6
101530,해태제과식품,
143210,핸즈코퍼레이션,
000720,현대건설,82210.3
000725,현대건설우,82210.3
453340,현대그린푸드,6035.4
086280,현대글로비스,67708.3
064350,현대로템,11013.8
079430,현대리바트,4314.3
012330,현대모비스,140111.3
069960,현대백화점,10216.4
004560,현대비앤지스틸,
004310,현대약품,
017800,현대엘리베이,
307950,현대오토에버,9000.8
011210,현대위아,21294.5
004020,현대제철,
005440,현대지에프홀딩스,20222.0
005380,현대차,428412.8
005387,현대차2우B,428412.8
005389,현대차3우B,428412.8
005385,현대차우,428412.8
001500,현대차증권,
011760,현대코퍼레이션,17403.3
227840,현대코퍼레이션홀딩스,
126560,현대퓨처넷,
001450,현대해상,
057050,현대홈쇼핑,8932.0
093240,형지엘리트,
003010,혜인,
111110,호전실업,
008770,호텔신라,9644.6
008775,호텔신라우,9644.6
378850,화승알앤에이,
241590,화승엔터프라이즈,3763.8
006060,화승인더,
013520,화승코퍼레이션,
010690,화신,4350.0
133820,화인베스틸,
010660,화천기계,
000850,화천기공,
016580,환인제약,630.5
032560,황금에스티,
004800,효성,4830.0
094280,효성ITX,
298040,효성중공업,11875.6
298020,효성티앤씨,19138.2
298000,효성화학,
093370,후성,1193.0
081660,휠라홀딩스,10611.5
005870,휴니드,
079980,휴비스,
005010,휴스틸,
000540,흥국화재,
000545,흥국화재우,
003280,흥아해운,
