계정,2024-3Q,2024-2Q,2024-1Q,2023,2023-3Q
DX,134357500000000,89363600000000,47292700000000,169992300000000,130444100000000
DS,80965200000000,51693800000000,23137300000000,66594500000000,44902100000000
SDC,21031700000000,13032600000000,5386400000000,30975400000000,21315800000000
Harman,10348900000000,6819300000000,3200300000000,14388500000000,10464100000000
영업수익,225082634000000,145983903000000,71915601000000,258935494000000,191155556000000
영업비용,198849376000000,128934016000000,65309592000000,252368518000000,187413297000000
영업이익,26233258000000,17049887000000,6606009000000,6566976000000,3742259000000
영업이익률,0.1165,0.1168,0.0919,0.0254,0.0196
순이익,26696957000000,16596053000000,6754708000000,15487100000000,5844171000000
순이익률,0.1186,0.1137,0.0939,0.0598,0.0306